levetiracetam,propofol,midazolam,lacosamide,phenobarbital,valproate,iic,count
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.0,0.25)",85
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.25,0.50)",40
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.50,0.75)",33
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.75,1.00]",124
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.0,0.25)",2
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.50,0.75)",1
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.75,1.00]",5
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[0.0,0.25)",2
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[0.75,1.00]",1
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.25,0.50)",2
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.50,0.75)",1
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.75,1.00]",4
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.0,0.25)",2
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.50,0.75)",1
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.75,1.00]",1
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.0,0.25)",50
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.25,0.50)",16
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.50,0.75)",9
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.75,1.00]",43
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"[0.0,0.25)",2
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.0,0.25)",2
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.50,0.75)",1
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.75,1.00]",3
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.0,0.25)",3
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.75,1.00]",1
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.0,0.25)",7
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.25,0.50)",2
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.50,0.75)",1
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.75,1.00]",7
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.0,0.25)",1
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.75,1.00]",1
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.25,0.50)",1
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.75,1.00]",1
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"[0.75,1.00]",1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.0,0.25)",42
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.25,0.50)",34
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.50,0.75)",25
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"[0.75,1.00]",95
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.0,0.25)",3
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.25,0.50)",1
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.50,0.75)",1
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"[0.75,1.00]",4
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"[0.0,0.25)",3
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.0,0.25)",5
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.25,0.50)",1
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.50,0.75)",6
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"[0.75,1.00]",14
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"[0.25,0.50)",1
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"[0.75,1.00]",2
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"[0.50,0.75)",1
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"[0.75,1.00]",1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.0,0.25)",5
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.50,0.75)",2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"[0.75,1.00]",5
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"[0.75,1.00]",1
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"[0.75,1.00]",1
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"[0.75,1.00]",1
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.0,0.25)",73
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.25,0.50)",23
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.50,0.75)",15
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"[0.75,1.00]",95
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"[0.50,0.75)",1
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"[0.75,1.00]",3
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.0,0.25)",1
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.75,1.00]",2
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.0,0.25)",6
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.25,0.50)",1
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.50,0.75)",2
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.75,1.00]",2
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"[0.25,0.50)",1
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"[0.75,1.00]",1
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"[0.0,0.25)",1
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.0,0.25)",7
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.25,0.50)",6
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.50,0.75)",4
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.75,1.00]",16
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.75,1.00]",4
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.0,0.25)",2
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.0,0.25)",2
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.25,0.50)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.75,1.00]",10
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"[0.75,1.00]",2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"[0.0,0.25)",1